"PdANo","PdNama"
102,"CLUTCH ROD ADJUSMENT, G1000/S1000/M1000A/E85/G55"
103,"TENSION HANDLE HEAD, ALL TYPE"
104,"TENSION ROD PIN -Y, ALL TYPE"
105,"TENSION HANDLE SUB ASSY, G1000/600/500/S1000/E85 (YELLOW VERZINC)"
106,"TENSION ROD ASSY (BLACK DOFF), G1000 (SP)"
107,"TENSION ROD ADJUSTMENT SUB ASSY, G1000"
108,"LAMP CABLE ASSY, G1000"
109,"THROTTLE CABLE ASSY, G1000/S1000/E85/KIJANG"
110,"THROTTLE LEVER ASSY, G1000"
111,L. Cage Wheel Sub Assy (Standar G 1000)
112,L. Cage Wheel Sub Assy (Tapak Panjang A)
113,L. Cage Wheel Sub Assy (Tapak Lebar A)
114,"CAGE WHEEL TRACK, G1000 (SP)"
115,CAGE WHEEL TRACK (TPK LBR A/B)
116,R. Cage Wheel Sub Assy (Standar G 1000)
117,R. Cage Wheel Sub Assy (Tapak Panjang A)
118,R. Cage Wheel Sub Assy (Tapak Lebar A)
119,Rubber Tire Ring 13 (L) Sub Group
120,Rubber Tire Ring 13 Inch V
121,Inner Tube Ring 13
122,Rubber Tire Ring 13 (R) Sub Group
123,"JACK SUB ASSY, G1000"
124,Plow Type 1 Sub Group (G1000) KIT
125,Plow Type 35 Sub Group (G1000) KIT
126,"PLOW HEAD, G1000 (SP)"
127,"PLOW ADJUSTMENT SHAFT SUB ASSY, G1000 SERIES"
128,"PLOW ADJUSTMENT, G1000 (ALL TYPE)"
129,MOULDING BOARD ASSY (TYPE 1)
130,MOULDING BOARD ASSY (TYPE 35) (SP)
131,SHARE (TYPE 1)
132,SHARE (TYPE 35)
133,Puddler Sub Group G1000
134,"PUDDLER FRAME SUB ASSY (AFTER PAINT), G1000 (SP)"
135,"CONNECTING BUSH, G1000"
136,"PUDDLER KNIFE PLATE, G1000"
137,"PUDDLER ROTOR SEAT SUB ASSY, G1000"
138,Leveler Sub Group (G1000) KIT
139,"LEVELER HEAD, G1000 (SP)"
140,"LEVELER ADJUSTMENT PLATE, G1000"
141,"LEVELER FRAME SUB ASSY, G1000 (SP)"
142,Bajak Parabola Super Sub Group (G 1000)
143,"ADJUSTMENT BOLT PIN, G1000"
144,"BEARING HOUSING COVER, B.P. SUPER"
145,"BEARING HOUSING PACKING, B.P. SUPER"
146,"STOP NUT RIGHT THREAD, B.P. SUPER G1000"
147,"STABILIZER DISC, B.P. SUPER G1000"
148,"MOULDING DISC, B.P. SUPER G1000"
149,"HEAD DIA 20x88, G1000"
150,"STOP NUT LEFT THREAD, B.P. SUPER"
151,MAIN FRAME SUB ASSY
152,"STABILIZER SEAT SUB ASSY, B.P. SUPER"
153,"STABILIZER SET, B.P. SUPER G1000"
154,"MOULDING DISC ARM 1 SUB ASSY, B.P. SUPER G1000"
155,"MOULDING DISC ARM 1 SET, B.P. SUPER"
156,"MOULDING DISC ARM 2 SUB ASSY, B.P. SUPER"
157,"MOULDING DISC ARM 2 SET, B.P. SUPER"
158,"CONNECTING PLATE 2, BP SUPER G1000"
159,"BUSH NUT SUB ASSY, BP SUPER G1000 (SP)"
160,"BUSH NUT SET 1, B.P. SUPER"
161,"BUSH NUT SET 2, B.P. SUPER G1000"
162,"ADJUSMENT BOLT 1 SUB ASSY, B.P. SUPER"
163,"ADJUSMENT BOLT 2 SUB ASSY, B.P. SUPER"
164,"SHAFT SUB ASSY, B.P. SUPER"
165,"STABILIZER SHAFT SUB ASSY, B.P. SUPER"
166,"STABILIZER BEARING HOUSING SUB ASSY, B.P. SUPER"
167,"HITCH PIN SUB ASSY, B.P. SUPER"
168,"ADJUSTMENT BOLT 3 SUB ASSY, B.P. SUPER"
169,Traktor G600 X RD65 DI-2S/05 (KIT)
170,"PERLENGKAPAN DOS, G600"
171,"STAND SUB ASSY, G600/E85/G550"
172,"DIESEL MOUNTING SUB ASSY, G600/G550 (SP)"
173,"TENSION ARM SUB ASSY, G600"
174,"TENSION ARM SEAT SUB ASSY, G600"
175,"FRONTSIDE FRAME ASSY, G600"
176,"MAIN PULLEY, G600 (FINISH PAINT)"
177,"GEAR CASE (R), G600"
178,"GEAR CASE (L), G600"
179,"GEAR CASE PACKING, G600/G550"
180,"GEAR 16 T1, G600 (SP)"
181,"KEY 7-7-18 2R, G600/G550/E85"
182,"SECOND SHAFT, G600/G550"
183,"SECOND GEAR, G600 (SP)"
184,"COUPLING SHAFT, G600/G550"
185,"CLUTCH SPRING (R), G600/G550/E85/M1000A/KIJANG/IMPALA"
186,"CLUTCH SPRING (L), G600/G550/E85/M1000A/KIJANG/IMPALA"
187,"STEERING GEAR, G600/G550/G500/E85 LAMA (SP)"
188,"STOPPER RING, G600/M1000A/G550/E85/ZENA"
189,"GEAR 40 T, G600/G550 (SP)"
190,"INTERMEDIATE SHAFT, G600/G550"
191,"INTERMEDIATE GEAR, G600/G550 (SP)"
192,"GEAR 34 T, G600 (SP)"
193,"MAIN SHAFT, G600"
194,"SECOND SHAFT BUSH, G600/G550"
195,"KEY 7-7-45-R, ALL"
196,"WHEEL HOLDER, G600"
197,"MAIN COLLAR 40 X 59, G600/G550/G500"
198,"SHIFTING LEVER, G600"
199,"GEAR CASE (R), G600 (SP)"
200,"INPUT SHAFT BOLT, G600/G550"
201,"RIGHTSIDE SHIFTING FORK, G600"
202,"LEFTSIDE SHIFTING FORK, G600"
203,"HITCH (1) SUB ASSY, G600"
204,"HITCH PIN SUB ASSY, G600/E85/TL800 (SP)"
205,HITCH (2) SUB ASSY G600  
206,"CLUTCH HANDLE PIN-Y, ALL TYPE/G600"
207,"HANDLE BAR, G600"
208,"MAIN PIPE SUB ASSY (L), G600"
209,"MAIN PIPE SUB ASSY (R), G600"
210,"HANDLE SUB ASSY, G600"
211,"SHIFTING ROD (BLACK DOFF), G600/G550 (SP)"
212,"STEERING LINKAGE - Y, G600/IMPALA"
213,"CLUTCH ROD PIN-Y, ALL TYPE"
214,"CLUTCH ROD ASSY (YELOOW PLATING), G600 (SP)"
215,"TENSION ROD ASSY (BLACK DOFF), G600 (SP)"
216,LAMP CABLE SUB GROUP
217,"THROTTLE CABLE ASSY, G600/G550"
218,L. Cage Wheel Sub Assy (Standar G 600)
219,R. Cage Wheel Sub Assy (Standar G 600)
220,Plow Type 5 Sub Group (G600) KIT
221,"PLOW HEAD, G600 (SP)"
222,Leveler Sub Group (G600) KIT
223,"LEVELER HEAD, G600 (SP)"
224,"PERLENGKAPAN DOS, E85"
225,"PULLEY COVER SUB ASSY, E85"
226,"TENSION ARM SUB ASSY, E85"
227,"TENSION ARM SEAT SUB ASSY, E85"
228,"FRONTSIDE FRAME ASSY, E85"
229,"MAIN PULLEY, E85 (FINISH PAINT)"
230,"GEAR CASE (R), E85"
231,"GEAR CASE (L), E85"
232,GEAR CASE PACKING E85 (NEW)
233,"INPUT SHAFT, E85"
234,"GEAR 17 T1, E85 (SP)"
235,"SECOND SHAFT, E85"
236,"GEAR 17 T2, E85"
237,"KEY 7-7-32 2R, E85"
238,"GEAR 33 T, E85"
239,"COUPLING SHAFT, E85 NEW"
240,"GEAR 35 T, E85 (SP)"
241,"INTERMEDIATE SHAFT, E85"
242,"GEAR 41 T, E85 (SP)"
243,"GEAR 14 T, E85/KIJANG (SP)"
244,"MAIN GEAR 38 T, E85 (SP)"
245,MAIN SHAFT E85 NEW
246,"SHIM, E85/M1000A/KIJANG"
247,"SEAL COVER PLASTIK, E85/M1000A"
248,"WHEEL HOLDER, E85"
249,"MAIN COLLAR 40 X 62.25, E85"
250,"SHIFTING LEVER, E85"
251,"GEAR CASE (R), E85"
252,"INPUT SHAFT, E85"
253,"SHIFTING FORK ASSY (R), E85 NEW"
254,"SHIFTING FORK ASSY (L), E85 NEW"
255,"HITCH (1) SUB ASSY, E85"
256,"HANDLE BAR ASSY, E85"
257,"HEAD OF HANDLE BAR ASSY, E85"
258,"SHIFTING ROD, E85"
259,"STEERING LINKAGE, E85"
260,"STEERING LINKAGE SHAFT ASSY, G1000/G600/E85/G550/IMPALA"
261,"STEERING LINKAGE ASSY, G1000/S1000"
262,"STEERING LINKAGE ASSY, G600/G550/IMPALA"
263,"STEERING LINKAGE ASSY, E85"
264,"STEERING LINKAGE ASSY, BOXER/ZEVA"
265,"CLUTCH ROD ASSY, E85 (FINISHED YELLOW PLATING)"
266,"TENSION ROD ASSY, E85 (FINISHED YELLOW PLATING)"
267,Plow Type 35 Sub Group (E85) KIT
268,Puddler Sub Group E85
269,"HEAD DIA 26x70, B.P. SUPER E85"
270,Traktor M1000 X RD 85 DI -2 S / STD/ 35 (KIT)
271,"MAIN PULLEY, M1000A"
272,"INNER CAM BUSH, M1000A/ZENA"
273,"OUTER CAM BUSH, M1000A/ZENA"
274,"INNER CAM, M1000A"
275,"OUTER CAM, M1000A/ZENA"
276,"OUTER COVER, M1000A/ZENA"
277,"OUTER COVER PACKING, M1000A/ZENA"
278,"INNER COVER PACKING, M1000A/ZENA"
279,"INNER SEAL, M1000A/ZENA"
280,"SPACER BUSH, M1000 (SP)"
281,"INNER CAM PACKING, M1000A/ZENA"
282,"RUBBER CAM COVER, M1000A"
283,"THRUST BEARING STOPPER, M1000A/ZENA"
284,"O-RING D=1.8 ID=25 OD=28.6, M1000A"
285,"THRUST BEARING HOUSING, M1000A/ZENA"
286,"INNER COVER SUB ASSY, M1000A"
287,"GEAR CASE PACKING, M1000A"
288,"INPUT SHAFT, M1000A"
289,"GEAR 14 T, M1000A (SP)"
290,"GEAR 27 T1, M1000A"
291,"SHIFTING SPEED SHAFT 1, M1000A"
292,"1st SPEED CHANGE FORK, M1000A"
293,"SHIFTING SPEED SHAFT 2, M1000A"
294,"2nd SPEED CHANGE FORK, M1000A"
295,"SECOND SHAFT, M1000A"
296,"GEAR 19 T / 14 T, M1000A"
297,"GEAR 27 T2, M1000A"
298,"BRAKE SHAFT, M1000A"
299,"GEAR 32 T / 19 T, M1000A"
300,"GEAR 27 T3, M1000A"
301,"SPROCKET 11 T, M1000A"
302,"COUPLING SHAFT, M1000A (SP)"
303,"SPROCKET 19 T, M1000A"
304,"INTERMEDIATE SHAFT, M1000A/ZENA"
305,"GEAR 15 T, M1000A/ZENA"
306,"GEAR 42 T, M1000A"
307,"GEAR 40 T, M1000A"
308,MAIN COLLAR 50 x 68.4
309,"SPEED CHANGE SPRING, M1000A"
310,"BALL DIA 7.95, M1000"
311,"SPEED CHANGE HOUSING, M1000A"
312,"SPEED CHANGE HOUSING PACKING, M1000A"
313,"PIVOT BALL SPRING, M1000A/ZENA"
314,"MAIN SHAFT, M1000A"
315,"WHEEL HOLDER, M1000A"
316,"MAIN PULLEY SET, M1000A (SP)"
317,"CHAIN (S) RS 50-32 LINKS, ENDLESS (SENQCIA) - M1000 (SP)"
318,"SHIFTING FORK SHAFT SET (R), M1000A"
319,"SHIFTING FORK SHAFT SET (L), M1000A"
320,"SPEED CHANGE LEVER SUB ASSY, M1000A"
321,PIVOT BALL
322,CLUTCH ASSY (SP)
323,"PRESSURE SPRING, M1000A/ZENA"
324,"KAMPAS KOPLING (CLUTCH FACING), M1000A/ZENA"
325,"FRICTION PLATE 1, M1000A/ZENA/QH-11/QT (WHITE VERZINC) (SP)"
326,"SPRING SEAT, M1000A/ZENA (SP)"
327,"FRICTION PLATE 2 SUB ASSY, M1000A/ZENA"
328,"BRACKET SUB ASSY, M1000A"
329,"HITCH (1) SUB ASSY, M1000A"
330,Hitch (2) Sub Assy M1000A
331,"OUTER CAM SPRING, M1000A"
332,"SPEED CHANGE ROD SPRING, M1000A"
333,"SPEED CHANGE ROD CUP, M1000A"
334,"HANDLE BAR GROUP, M1000A"
335,"SPEED CHANGE ROD SUB ASSY, M1000A"
336,"PULLEY COVER SUB ASSY, M1000A"
337,"SHIFTING ROD, M1000A"
338,"STEERING LINKAGE, M1000A"
339,"CLUTCH ROD ASSY., M1000A (FINISHED YELLOW PLATING)"
340,"DISC CLUTCH ROD ASSY, M1000A (YELLOW VERZINC)"
341,"TRAILER HEAD SUB ASSY, M1000A"
342,"STEPPED ENGINE PULLEY DIA. 100-200, KIJANG"
343,"MAIN PULLEY (GREY), KIJANG"
344,"MAIN PULLEY (GREEN), KIJANG"
345,"GEAR CASE PACKING, KIJANG"
346,"INPUT SHAFT, KIJANG"
347,TOP COVER
348,"COUPLING SHAFT, KIJANG/ZENA LAMA"
349,"INTERMEDIATE SHAFT, KIJANG"
350,"SPROCKET 30 T, KIJANG"
351,"GEAR 54 T, KIJANG"
352,"INTERMEDIATE COLLAR 45 x 29, KIJANG"
353,"SEAL HOUSING, KIJANG"
354,"MAIN GEAR 46 T, KIJANG"
355,"MAIN BUSH, KIJANG"
356,"MAIN BEARING HOUSING PACKING, KIJANG"
357,"OIL CAP, CAKAR BAJA/CAPUNG METAL (SP)"
358,"SHIFTING FORK BUSH, KIJANG"
359,"O-Ring 24.7 x 3.5, Kijang/Boxer/Zeva"
360,"MAIN SHAFT SUB ASSY, KIJANG"
361,"RIGHTSIDE SHIFTING FORK SUB ASSY, KIJANG"
362,"LEFTSIDE SHIFTING FORK SUB ASSY, KIJANG"
363,"HITCH (1) SUB ASSY, KIJANG"
364,"HANDLE BAR ASSY, KIJANG A"
365,"HANDLE BAR ASSY, KIJANG B"
366,"SHIFTING ROD, KIJANG"
367,"CLUTCH ROD ASSY., KIJANG"
368,"TENSION ROD ASSY, KIJANG"
369,"PLOW HEADKIJANG, KIJANG"
370,"LEVELER HEAD (MEDIUM), KIJANG"
371,"LEVELER HEAD (SHORT), KIJANG"
372,ENGINE PULLEY-B
373,Traktor G1000 Boxer X RD 85 DI - 2S / V-78 / STD/ 35 (KIT)
374,"PERLENGKAPAN DOS V-78, BOXER"
375,"PERLENGKAPAN DOS V-80, BOXER"
376,"STAND SUB ASSY, BOXER"
377,"FRONTSIDE FRAME ASSY, BOXER"
378,"SUPPORT BAR PIN, BOXER/ZEVA"
379,"FRAME SUB ASSY, BOXER/ZEVA"
380,"V-BELT SUPPORT PIN SUB ASSY, BOXER"
381,"MAIN PULLEY, BOXER (FINISH PAINT) (SP)"
382,"MAIN PULLEY-B, BOXER REM (FINISH PAINT)"
383,"TENSION ARM SHAFT, BOXER/ZEVA/KIJANG (SP)"
384,"BRAKE SHAFT, BOXER REM"
385,"TENSION ARM SUB ASSY, BOXER"
386,BRAKE LINING (SP)
387,"BRAKE ADJUSTING BAR, BOXER REM"
388,"BRAKE ADJUSTING BUSH, BOXER REM"
389,"SPACING BUSH, BOXER REM"
390,"GEAR CASE (L), BOXER"
391,"GEAR CASE PACKING, BOXER/ZEVA"
392,"INPUT SEAL HOUSING, BOXER STD (SP)"
393,"INPUT SEAL HOUSING, BOXER REM (SP)"
394,"INPUT SEAL HOUSING PACKING, BOXER/ZEVA"
395,"SEAL HOUSING, BOXER"
396,"SEAL HOUSING PACKING, BOXER/ZEVA"
397,"GEAR 40 T, BOXER/ZEVA"
398,"MAIN COLLAR 54 x 66, BOXER/ZEVA"
399,"OIL CAP, BOXER/ZEVA/IMPALA"
400,"OIL CAP HOSE, BOXER/ZEVA"
401,"SHIFTING FORK BUSH, BOXER"
402,"DOWEL PIN 10P6x30, BOXER (SP)"
403,"WASHER 30x43x2, BOXER (SP)"
404,"GEAR CASE (R), BOXER"
405,"INPUT SHAFT, BOXER"
406,"MAIN SHAFT ASSY, BOXER"
407,"SHIFTING FORK SUB ASSY, BOXERZEVA"
408,"HITCH (1) SUB ASSY, BOXER (SP)"
409,"HITCH RING, BOXER/G900B/G3000/TL800/G600/E85 (SP)"
410,"HITCH PIN SUB ASSY, BOXER/ZEVA (SP)"
411,Hitch (2) Sub Assy G1000 Boxer
412,"HANDLE BAR, BOXER"
413,"STAND ROPE, BOXER"
414,"PULLEY COVER ASSY, BOXER"
415,"EXTENSION PULLEY COVER ASSY, BOXER"
416,"SHIFTING ROD (BLACK DOFF), BOXER (SP)"
417,"CLUTCH ROD ASSY (BLACK DOFF), BOXER (SP)"
418,"TENSION HANDLE SUB ASSY (YELLOW PLATTING), BOXER"
419,"TENSION ROD ASSY (BLACK DOFF), BOXER (SP)"
420,"THROTTLE LEVER CABLE SUB GROUP, BOXER (PAKAI AAH2E00001AY-1)"
421,"THROTTLE CABLE ASSY., BOXER/ZEVA/ZENA/G3000"
422,"THROTTLE LEVER ASSY, BOXER/M1000A/ZENA/G3000 (PAKAI AAH2EA0001AY-1)"
423,"THROTTLE ADJUSTER ASSY, BOXER (SP)"
424,L. Cage Wheel Sub Assy (Standar G 1000 Boxer)
425,L. Cage Wheel Sub Assy (Tapak Lebar C)
426,R. Cage Wheel Sub Assy (Standar G 1000 Boxer)
427,R. Cage Wheel Sub Assy (Tapak Lebar C)
428,Plow Type 1 Sub Group (Boxer) KIT
429,Plow Type 35 Sub Group (Boxer) KIT
430,Plow Type 5 Sub Group (ZEVA) KIT
431,"PLOW HEAD, BOXER (SP)"
432,Puddler Sub Group Boxer
433,"RUBBER ROTOR SEAT, BOXER/ZEVA/IMPALA/CAPUNG"
434,"PUDDLER FRAME HEAD, BOXER/ZEVA (SP)"
435,"PUDDLER ROTOR SEAT, BOXER/ZEVA"
436,"STOPPER PLATE, BOXER/ZEVA"
437,Leveler Sub Group (Boxer) KIT
438,"LEVELER HEAD, BOXER (SP)"
439,Bajak Parabola Super Sub Group (G 3000 ZEVA/G 1000 Boxer)
440,HEAD DIA 26x88
441,TRAKTOR G3000 ZEVA X RD 85 DI-2S / V-78 / STD / 05 (KIT)
442,"PERLENGKAPAN DOS V-78, ZEVA"
443,"PERLENGKAPAN DOS V-80, ZEVA"
444,"STAND SUB ASSY, ZEVA"
445,"DIESEL MOUNTING SUB ASSY, ZEVA/G3000"
446,"FRONTSIDE FRAME ASSY, ZEVA"
447,"MAIN PULLEY, ZEVA"
448,"TENSION ARM SUB ASSY, G3000 ZEVA"
449,INPUT SEAL HOUSING
450,"SEAL HOUSING - NEW, ZEVA NEW"
451,"TOP COVER, ZEVA"
452,"SHIFTING FORK BUSH, ZEVA"
453,"SHIFTING LEVER, ZEVA"
454,GEAR CASE (R)
455,GEAR CASE (L)
456,"INPUT SHAFT, ZEVA"
457,"MAIN SHAFT SUB ASSY, ZEVA (SP)"
458,"HITCH (1) SUB ASSY, ZEVA"
459,Quick Hitch II G 3000 ZEVA
460,"HANDLE BAR, ZEVA"
461,"STAND ROD SUB ASSY, ZEVA (VERCHROME)"
462,"EXTENSION PULLEY COVER ASSY, ZEVA"
463,"SHIFTING ROD ASSY - W, ZEVA"
464,"CLUTCH HANDLE - W, ZEVA"
465,"STEERING LINKAGE SHAFT SUB ASSY, ZEVA"
466,"STEERING LINKAGE SET, ZEVA"
467,"CLUTCH ROD ASSY, ZEVA"
468,"CLUTCH ROD ADJUSMENT, ZEVA"
469,"TENSION ROD ASSY, ZEVA"
470,L. Cage Wheel Sub Assy (Standar G 3000 Zeva)
471,R. Cage Wheel Sub Assy (Standar G 3000 Zeva)
472,"END PIPE CAP, VAGANZA (SP)"
473,"ENGINE PULLEY, GX240-H"
474,"COLLAR DIA. 33.7x34, GX240-H"
475,"STOPPER PLATE, IMPALA"
476,"MUFFLER EXTENSION, IMPALA"
477,QUICK TRAKTOR IMPALA X RD 65 DI-2S / RB. 720 / MP. 220 (KIT)
478,V-BELT SUPPORT SUB ASSY
479,"ENGINE MOUNTING, IMPALA"
480,"STAND SUB ASSY, IMPALA"
481,"DIESEL MOUNTING SUB ASSY, IMPALA"
482,"MOUNTING BOLT SET, IMPALA (SP)"
483,"FRONTSIDE FRAME ASSY, IMPALA"
484,"MAIN PULLEY DIA. 220, IMPALA (FINISH PAINT)"
485,"MAIN PULLEY DIA. 260, IMPALA (FINISH PAINT)"
486,"TENSION ARM SHAFT, IMPALA"
487,"MAIN PULLEY DIA. 220 SET 1, IMPALA (SP)"
488,"MAIN PULLEY DIA. 260 SET 1, IMPALA (SP)"
489,"MAIN PULLEY DIA. 220 SET 2, IMPALA (SP)"
490,"MAIN PULLEY DIA. 260 SET 2, IMPALA (SP)"
491,"TENSION ARM SUB ASSY, IMPALA"
492,"GEAR CASE (L), IMPALA (SP)"
493,"GEAR CASE PACKING, IMPALA"
494,"INPUT BEARING HOUSING, IMPALA"
495,"INPUT BEARING HOUSING PACKING, IMPALA"
496,"SPROCKET 11 T, IMPALA/CAPUNG METAL"
497,"KEY7-7-22-2R, IMPALA"
498,"INPUT SHAFT BUSH, IMPALA"
499,"TOP COVER, IMPALA"
500,"TOP COVER PACKING, IMPALA"
501,"SPROCKET 27 T, IMPALA"
502,"INTERMEDIATE SHAFT, IMPALA"
503,"GEAR 39 T, IMPALA"
504,"GEAR 14 T, IMPALA"
505,"SEAL HOUSING, IMPALA"
506,"SEAL HOUSING PACKING, IMPALA"
507,"MAIN GEAR 46 T, IMPALA"
508,"MAIN COLLAR 50x66, IMPALA"
509,"MAIN COLLAR DIA.38x40.85, IMPALA/CAPUNG METAL"
510,"STOPPER RING DIA.30, IMPALA"
511,"STEERING GEAR, IMPALA/ZENA/M1000/KIJANG (SP)"
512,"SHIFTING LEVER, IMPALA, KIJANG"
513,"SHIFTING FORK BUSH,IMPALA"
514,"GEAR CASE (R), IMPALA (SP)"
515,"INPUT SHAFT, IMPALA"
516,"MAIN SHAFT SUB ASSY, IMPALA"
517,"CHAIN RS 40 - 50 MATA SUB ASSY, IMPALA"
518,"RIGHT SIDE SHIFTING FORK SUB ASSY, IMPALA"
519,"LEFT SIDE SHIFTING FORK SUB ASSY, IMPALA"
520,"TENSION PULLEY ASSY, IMPALA"
521,"HITCH (1) SUB ASSY, IMPALA"
522,"HITCH RING, IMPALA/ZENA/KIJANG"
523,Quick Hitch II Sub Assy IMPALA
524,"HANDLE BAR, IMPALA"
525,STAND ROPE
526,"SHIFTING ROD, IMPALA"
527,"CLUTCH ROD ASSY, IMPALA (SP)"
528,"TENSION HANDLE SUB ASSY (YELLOW PLATING), IMPALA"
529,"TENSION ROD ASSY, IMPALA (SP)"
530,L. Cage Wheel Sub Assy (Impala B 720)
531,"CAGE WHEEL TRACK, IMPALA"
532,R. Cage Wheel Sub Assy (Impala B 720)
533,"MAIN SHAFT EXTENSION, IMPALA"
534,Rubber Tire Ring 12 (L) Sub Group
535,Rubber Tire Ring 12 Inch
